n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
3398,9007,96962.637507042,10.765253414793161,28.535208212784582,"Seattle, Washington, USA",5000.0
3995,10540,116000.63435773554,11.005752785363903,29.036454157130297,"Seattle, Washington, USA",5500.0
4590,12083,135443.40473404745,11.209418582640689,29.508367044454783,"Seattle, Washington, USA",6000.0
5090,13360,151808.8077978247,11.362934715406041,29.824913123344736,"Seattle, Washington, USA",6500.0
5617,14783,170023.40143355276,11.501278592542295,30.269432336398925,"Seattle, Washington, USA",7000.0
6138,16208,188410.32464492193,11.624526446503081,30.695719231821755,"Seattle, Washington, USA",7500.0
6728,17841,209648.2860970303,11.750926859314518,31.16056571002234,"Seattle, Washington, USA",8000.0
7368,19566,232444.71635125947,11.880032523318995,31.54787138317854,"Seattle, Washington, USA",8500.0
8020,21355,256228.45339099385,11.99852275303179,31.948684961470555,"Seattle, Washington, USA",9000.0
8751,23314,282650.688240002,12.123646231449001,32.29924445663376,"Seattle, Washington, USA",9500.0
9495,25245,309108.1993415794,12.244333505311127,32.55483931980826,"Seattle, Washington, USA",10000.0
73,170,908.7096908676707,5.345351122751004,12.44807795709138,"Miami, Florida, USA",500.0
240,605,4231.573437909924,6.994336261008139,17.63155599129135,"Miami, Florida, USA",1000.0
554,1408,11547.698497771005,8.201490410348725,20.844221115110116,"Miami, Florida, USA",1500.0
886,2261,20069.717281858804,8.876478231693412,22.652051108192783,"Miami, Florida, USA",2000.0
1419,3673,35031.66290468729,9.537615819408465,24.687570757355385,"Miami, Florida, USA",2500.0
2081,5432,54749.36875331216,10.079044321301945,26.309163264446017,"Miami, Florida, USA",3000.0
2887,7580,79920.56822517935,10.543610583796747,27.68291244377532,"Miami, Florida, USA",3500.0
3879,10028,110233.31880665003,10.992552733012568,28.417973396919315,"Miami, Florida, USA",4000.0
4843,12291,139376.21059832445,11.339696574593153,28.7788995660385,"Miami, Florida, USA",4500.0
5557,14110,162794.4997237108,11.537526557314726,29.29539314804945,"Miami, Florida, USA",5000.0
6124,15685,182969.8387449245,11.665275023584602,29.877504693815233,"Miami, Florida, USA",5500.0
6555,16896,198600.20350931663,11.754273408458607,30.29751388395372,"Miami, Florida, USA",6000.0
6997,18036,213697.86693666305,11.848406904893716,30.54135585774804,"Miami, Florida, USA",6500.0
7406,19164,228527.6824120202,11.924842538719483,30.857099974617903,"Miami, Florida, USA",7000.0
7816,20235,242858.37945511268,12.001896686687061,31.07195233560807,"Miami, Florida, USA",7500.0
8176,21206,255834.16356636107,12.064234818747574,31.29087127768604,"Miami, Florida, USA",8000.0
8423,21888,264942.484028188,12.104462903334612,31.45464609143868,"Miami, Florida, USA",8500.0
8657,22486,273084.79874591186,12.144658843098455,31.544969244069755,"Miami, Florida, USA",9000.0
8833,22958,279462.5294796634,12.172773302537825,31.63846139246727,"Miami, Florida, USA",9500.0
8959,23256,283607.9545984125,12.195044487375839,31.656206563055306,"Miami, Florida, USA",10000.0
